menu_id,allergen,evidence
batch-05-049,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-05-050,soy,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-05-052,milk,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-05-053,milk,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-05-060,soy,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-06-004,soy,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-06-006,milk,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-06-010,milk,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-06-010,wheat,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-06-012,soy,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-06-013,milk,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-06-016,soy,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-06-017,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-06-018,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-06-019,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-06-020,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-06-021,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-06-022,shellfish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-06-023,soy,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-06-024,soy,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-06-029,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-06-031,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-06-032,soy,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-06-034,soy,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-06-035,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-06-036,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-06-037,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-06-038,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-06-039,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-06-040,shellfish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-06-041,soy,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-06-042,soy,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-06-047,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-06-049,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-06-050,soy,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-06-052,milk,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-06-053,milk,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-06-060,soy,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-07-004,soy,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-07-006,milk,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-07-010,milk,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-07-010,wheat,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-07-012,soy,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-07-013,milk,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-07-016,soy,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-07-017,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-07-018,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-07-019,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-07-020,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-07-021,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-07-022,shellfish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-07-023,soy,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-07-024,soy,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-07-029,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-07-031,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-07-032,soy,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-07-034,soy,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-07-035,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-07-036,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-07-037,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-07-038,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-07-039,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-07-040,shellfish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-07-041,soy,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-07-042,soy,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-07-047,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-07-049,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-07-050,soy,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-07-052,milk,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-07-053,milk,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-07-060,soy,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-08-004,soy,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-08-006,milk,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-08-010,milk,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-08-010,wheat,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-08-012,soy,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-08-013,milk,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-08-016,soy,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-08-017,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-08-018,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-08-019,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-08-020,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-08-021,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-08-022,shellfish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-08-023,soy,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-08-024,soy,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-08-029,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-08-031,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-08-032,soy,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-08-034,soy,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-08-035,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-08-036,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-08-037,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-08-038,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-08-039,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-08-040,shellfish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-08-041,soy,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-08-042,soy,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-08-047,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-08-049,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-08-050,soy,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-08-052,milk,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-08-053,milk,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-08-060,soy,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-09-004,soy,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-09-006,milk,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-09-010,milk,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-09-010,wheat,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-09-012,soy,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-09-013,milk,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-09-016,soy,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-09-017,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-09-018,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-09-019,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-09-020,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-09-021,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-09-022,shellfish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-09-023,soy,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-09-024,soy,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-09-029,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-09-031,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-09-032,soy,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-09-034,soy,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-09-035,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-09-036,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-09-037,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-09-038,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-09-039,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-09-040,shellfish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-09-041,soy,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-09-042,soy,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-09-047,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-09-049,fish,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
batch-09-050,soy,"Label konservatif berdasarkan komponen dan nama pangan; resep rinci tetap perlu diperhatikan."
