menu_id,food_ingredient_id,amount_g,component_role,preparation_note,sort_order
batch-02-046,373,90.0,protein,"",1
batch-02-046,629,220.0,vegetable,"",2
batch-02-046,713,100.0,fruit,"",3
batch-02-047,22,110.0,staple,"",0
batch-02-047,1035,55.0,protein,"",1
batch-02-047,634,220.0,vegetable,"",2
batch-02-047,749,100.0,fruit,"",3
batch-02-048,26,110.0,staple,"",0
batch-02-048,846,65.0,protein,"",1
batch-02-048,635,220.0,vegetable,"",2
batch-02-048,751,100.0,fruit,"",3
batch-02-049,22,110.0,staple,"",0
batch-02-049,1032,85.0,protein,"",1
batch-02-049,642,220.0,vegetable,"",2
batch-02-049,685,100.0,fruit,"",3
batch-02-050,26,110.0,staple,"",0
batch-02-050,376,75.0,protein,"",1
batch-02-050,626,220.0,vegetable,"",2
batch-02-050,721,100.0,fruit,"",3
batch-02-051,22,110.0,staple,"",0
batch-02-051,370,75.0,protein,"",1
batch-02-051,622,220.0,vegetable,"",2
batch-02-051,713,100.0,fruit,"",3
batch-02-052,1145,100.0,beverage,"",0
batch-02-052,713,150.0,fruit,"",1
batch-02-053,1145,100.0,beverage,"",0
batch-02-053,721,150.0,fruit,"",1
batch-02-054,252,100.0,staple,"",0
batch-02-054,749,100.0,fruit,"",1
batch-02-055,243,100.0,staple,"",0
batch-02-055,685,100.0,fruit,"",1
batch-02-056,377,60.0,protein,"",0
batch-02-056,751,100.0,fruit,"",1
batch-02-057,378,60.0,protein,"",0
batch-02-057,713,100.0,fruit,"",1
batch-02-058,31,80.0,staple,"",0
batch-02-058,756,80.0,fruit,"",1
batch-02-059,251,80.0,staple,"",0
batch-02-059,721,100.0,fruit,"",1
batch-02-060,383,60.0,protein,"",0
batch-02-060,749,100.0,fruit,"",1
batch-03-001,245,150.0,staple,"",0
batch-03-001,377,80.0,protein,"",1
batch-03-001,721,100.0,fruit,"",2
batch-03-002,247,180.0,staple,"",0
batch-03-002,378,80.0,protein,"",1
batch-03-002,749,100.0,fruit,"",2
batch-03-003,250,180.0,staple,"",0
batch-03-003,383,80.0,protein,"",1
batch-03-003,685,100.0,fruit,"",2
batch-03-004,251,150.0,staple,"",0
batch-03-004,431,80.0,protein,"",1
batch-03-004,756,100.0,fruit,"",2
batch-03-005,252,150.0,staple,"",0
batch-03-005,373,80.0,protein,"",1
batch-03-005,751,100.0,fruit,"",2
batch-03-006,253,120.0,staple,"",0
batch-03-006,1145,150.0,beverage,"",1
batch-03-006,713,100.0,fruit,"",2
batch-03-007,249,150.0,staple,"",0
batch-03-007,383,80.0,protein,"",1
batch-03-007,756,100.0,fruit,"",2
batch-03-008,31,120.0,staple,"",0
batch-03-008,377,80.0,protein,"",1
batch-03-008,721,100.0,fruit,"",2
batch-03-009,33,120.0,staple,"",0
batch-03-009,378,80.0,protein,"",1
batch-03-009,751,100.0,fruit,"",2
batch-03-010,45,60.0,staple,"",0
batch-03-010,1144,200.0,beverage,"",1
batch-03-010,749,100.0,fruit,"",2
batch-03-011,243,180.0,staple,"",0
batch-03-011,373,80.0,protein,"",1
batch-03-011,685,100.0,fruit,"",2
batch-03-012,244,120.0,staple,"",0
batch-03-012,431,80.0,protein,"",1
batch-03-012,713,100.0,fruit,"",2
batch-03-013,245,150.0,staple,"",0
batch-03-013,1145,150.0,beverage,"",1
batch-03-013,756,100.0,fruit,"",2
batch-03-014,250,180.0,staple,"",0
batch-03-014,377,80.0,protein,"",1
batch-03-014,721,100.0,fruit,"",2
batch-03-015,247,180.0,staple,"",0
batch-03-015,383,80.0,protein,"",1
batch-03-015,751,100.0,fruit,"",2
batch-03-016,26,120.0,staple,"",0
batch-03-016,867,80.0,protein,"",1
batch-03-016,633,200.0,vegetable,"",2
batch-03-016,713,100.0,fruit,"",3
batch-03-017,22,120.0,staple,"",0
batch-03-017,1036,90.0,protein,"",1
batch-03-017,634,200.0,vegetable,"",2
batch-03-017,749,100.0,fruit,"",3
batch-03-018,26,120.0,staple,"",0
batch-03-018,1021,90.0,protein,"",1
batch-03-018,635,200.0,vegetable,"",2
batch-03-018,751,100.0,fruit,"",3
batch-03-019,22,120.0,staple,"",0
batch-03-019,1034,80.0,protein,"",1
batch-03-019,641,200.0,vegetable,"",2
batch-03-019,685,100.0,fruit,"",3
batch-03-020,26,120.0,staple,"",0
batch-03-020,1038,90.0,protein,"",1
batch-03-020,642,200.0,vegetable,"",2
batch-03-020,721,100.0,fruit,"",3
batch-03-021,22,120.0,staple,"",0
batch-03-021,1039,90.0,protein,"",1
batch-03-021,626,200.0,vegetable,"",2
batch-03-021,713,100.0,fruit,"",3
batch-03-022,26,120.0,staple,"",0
batch-03-022,1018,80.0,protein,"",1
batch-03-022,627,200.0,vegetable,"",2
batch-03-022,751,100.0,fruit,"",3
batch-03-023,22,120.0,staple,"",0
batch-03-023,431,100.0,protein,"",1
batch-03-023,629,200.0,vegetable,"",2
batch-03-023,749,100.0,fruit,"",3
batch-03-024,26,120.0,staple,"",0
batch-03-024,452,70.0,protein,"",1
batch-03-024,633,200.0,vegetable,"",2
batch-03-024,721,100.0,fruit,"",3
batch-03-025,22,120.0,staple,"",0
batch-03-025,377,100.0,protein,"",1
batch-03-025,634,200.0,vegetable,"",2
batch-03-025,685,100.0,fruit,"",3
batch-03-026,26,120.0,staple,"",0
batch-03-026,378,100.0,protein,"",1
batch-03-026,635,200.0,vegetable,"",2
batch-03-026,713,100.0,fruit,"",3
batch-03-027,22,120.0,staple,"",0
batch-03-027,383,100.0,protein,"",1
batch-03-027,641,200.0,vegetable,"",2
batch-03-027,751,100.0,fruit,"",3
batch-03-028,26,120.0,staple,"",0
batch-03-028,373,100.0,protein,"",1
batch-03-028,642,200.0,vegetable,"",2
batch-03-028,749,100.0,fruit,"",3
batch-03-029,22,120.0,staple,"",0
batch-03-029,1035,60.0,protein,"",1
batch-03-029,626,200.0,vegetable,"",2
batch-03-029,721,100.0,fruit,"",3
batch-03-030,26,120.0,staple,"",0
batch-03-030,846,70.0,protein,"",1
batch-03-030,627,200.0,vegetable,"",2
batch-03-030,685,100.0,fruit,"",3
batch-03-031,22,120.0,staple,"",0
batch-03-031,1032,90.0,protein,"",1
batch-03-031,629,200.0,vegetable,"",2
batch-03-031,713,100.0,fruit,"",3
batch-03-032,26,120.0,staple,"",0
batch-03-032,376,80.0,protein,"",1
batch-03-032,633,200.0,vegetable,"",2
batch-03-032,751,100.0,fruit,"",3
batch-03-033,22,120.0,staple,"",0
batch-03-033,370,80.0,protein,"",1
batch-03-033,634,200.0,vegetable,"",2
batch-03-033,749,100.0,fruit,"",3
batch-03-034,22,110.0,staple,"",0
batch-03-034,867,75.0,protein,"",1
batch-03-034,641,220.0,vegetable,"",2
batch-03-034,721,100.0,fruit,"",3
batch-03-035,26,110.0,staple,"",0
batch-03-035,1036,85.0,protein,"",1
batch-03-035,642,220.0,vegetable,"",2
batch-03-035,751,100.0,fruit,"",3
batch-03-036,22,110.0,staple,"",0
batch-03-036,1021,85.0,protein,"",1
batch-03-036,626,220.0,vegetable,"",2
batch-03-036,685,100.0,fruit,"",3
batch-03-037,26,110.0,staple,"",0
batch-03-037,1034,75.0,protein,"",1
batch-03-037,627,220.0,vegetable,"",2
batch-03-037,749,100.0,fruit,"",3
batch-03-038,22,110.0,staple,"",0
batch-03-038,1038,85.0,protein,"",1
batch-03-038,629,220.0,vegetable,"",2
batch-03-038,751,100.0,fruit,"",3
batch-03-039,26,110.0,staple,"",0
batch-03-039,1039,85.0,protein,"",1
batch-03-039,633,220.0,vegetable,"",2
batch-03-039,721,100.0,fruit,"",3
batch-03-040,22,110.0,staple,"",0
batch-03-040,1018,75.0,protein,"",1
batch-03-040,634,220.0,vegetable,"",2
batch-03-040,713,100.0,fruit,"",3
batch-03-041,26,110.0,staple,"",0
batch-03-041,431,90.0,protein,"",1
batch-03-041,635,220.0,vegetable,"",2
batch-03-041,685,100.0,fruit,"",3
batch-03-042,22,110.0,staple,"",0
batch-03-042,452,65.0,protein,"",1
batch-03-042,641,220.0,vegetable,"",2
batch-03-042,751,100.0,fruit,"",3
batch-03-043,26,110.0,staple,"",0
batch-03-043,377,90.0,protein,"",1
batch-03-043,642,220.0,vegetable,"",2
batch-03-043,721,100.0,fruit,"",3
batch-03-044,22,110.0,staple,"",0
batch-03-044,378,90.0,protein,"",1
batch-03-044,626,220.0,vegetable,"",2
batch-03-044,713,100.0,fruit,"",3
batch-03-045,26,110.0,staple,"",0
batch-03-045,383,90.0,protein,"",1
batch-03-045,627,220.0,vegetable,"",2
batch-03-045,685,100.0,fruit,"",3
batch-03-046,22,110.0,staple,"",0
batch-03-046,373,90.0,protein,"",1
batch-03-046,629,220.0,vegetable,"",2
batch-03-046,749,100.0,fruit,"",3
batch-03-047,26,110.0,staple,"",0
batch-03-047,1035,55.0,protein,"",1
batch-03-047,633,220.0,vegetable,"",2
batch-03-047,713,100.0,fruit,"",3
batch-03-048,22,110.0,staple,"",0
batch-03-048,846,65.0,protein,"",1
batch-03-048,634,220.0,vegetable,"",2
batch-03-048,721,100.0,fruit,"",3
batch-03-049,26,110.0,staple,"",0
batch-03-049,1032,85.0,protein,"",1
batch-03-049,635,220.0,vegetable,"",2
batch-03-049,751,100.0,fruit,"",3
batch-03-050,22,110.0,staple,"",0
batch-03-050,376,75.0,protein,"",1
batch-03-050,641,220.0,vegetable,"",2
batch-03-050,685,100.0,fruit,"",3
batch-03-051,26,110.0,staple,"",0
batch-03-051,370,75.0,protein,"",1
batch-03-051,642,220.0,vegetable,"",2
batch-03-051,749,100.0,fruit,"",3
batch-03-052,1145,100.0,beverage,"",0
batch-03-052,749,150.0,fruit,"",1
batch-03-053,1145,100.0,beverage,"",0
batch-03-053,751,150.0,fruit,"",1
batch-03-054,244,80.0,staple,"",0
batch-03-054,713,100.0,fruit,"",1
batch-03-055,245,80.0,staple,"",0
batch-03-055,749,100.0,fruit,"",1
batch-03-056,373,60.0,protein,"",0
batch-03-056,685,100.0,fruit,"",1
batch-03-057,370,50.0,protein,"",0
batch-03-057,721,100.0,fruit,"",1
batch-03-058,33,80.0,staple,"",0
batch-03-058,787,150.0,fruit,"",1
batch-03-059,250,100.0,staple,"",0
batch-03-059,756,80.0,fruit,"",1
batch-03-060,376,50.0,protein,"",0
batch-03-060,751,100.0,fruit,"",1
batch-04-001,245,150.0,staple,"",0
batch-04-001,377,80.0,protein,"",1
batch-04-001,787,100.0,fruit,"",2
batch-04-002,247,150.0,staple,"",0
batch-04-002,378,80.0,protein,"",1
batch-04-002,713,100.0,fruit,"",2
batch-04-003,250,150.0,staple,"",0
batch-04-003,383,80.0,protein,"",1
batch-04-003,749,100.0,fruit,"",2
batch-04-004,251,150.0,staple,"",0
batch-04-004,431,80.0,protein,"",1
batch-04-004,721,100.0,fruit,"",2
batch-04-005,252,150.0,staple,"",0
batch-04-005,373,80.0,protein,"",1
batch-04-005,685,100.0,fruit,"",2
batch-04-006,253,120.0,staple,"",0
batch-04-006,1145,150.0,beverage,"",1
batch-04-006,751,100.0,fruit,"",2
batch-04-007,249,150.0,staple,"",0
batch-04-007,383,80.0,protein,"",1
batch-04-007,787,100.0,fruit,"",2
batch-04-008,31,120.0,staple,"",0
batch-04-008,377,80.0,protein,"",1
batch-04-008,713,100.0,fruit,"",2
batch-04-009,33,120.0,staple,"",0
batch-04-009,378,80.0,protein,"",1
batch-04-009,749,100.0,fruit,"",2
batch-04-010,45,60.0,staple,"",0
batch-04-010,1144,200.0,beverage,"",1
batch-04-010,751,100.0,fruit,"",2
batch-04-011,243,150.0,staple,"",0
batch-04-011,373,80.0,protein,"",1
batch-04-011,721,100.0,fruit,"",2
batch-04-012,244,120.0,staple,"",0
batch-04-012,431,80.0,protein,"",1
batch-04-012,756,100.0,fruit,"",2
batch-04-013,245,150.0,staple,"",0
batch-04-013,1145,150.0,beverage,"",1
batch-04-013,685,100.0,fruit,"",2
batch-04-014,250,150.0,staple,"",0
batch-04-014,377,80.0,protein,"",1
batch-04-014,713,100.0,fruit,"",2
batch-04-015,247,150.0,staple,"",0
batch-04-015,383,80.0,protein,"",1
batch-04-015,749,100.0,fruit,"",2
batch-04-016,22,120.0,staple,"",0
batch-04-016,867,80.0,protein,"",1
batch-04-016,622,200.0,vegetable,"",2
batch-04-016,787,100.0,fruit,"",3
batch-04-017,26,120.0,staple,"",0
batch-04-017,1036,90.0,protein,"",1
batch-04-017,624,200.0,vegetable,"",2
batch-04-017,787,100.0,fruit,"",3
batch-04-018,22,120.0,staple,"",0
batch-04-018,1021,90.0,protein,"",1
batch-04-018,626,200.0,vegetable,"",2
batch-04-018,787,100.0,fruit,"",3
batch-04-019,26,120.0,staple,"",0
batch-04-019,1034,80.0,protein,"",1
batch-04-019,627,200.0,vegetable,"",2
batch-04-019,787,100.0,fruit,"",3
batch-04-020,22,120.0,staple,"",0
batch-04-020,1038,90.0,protein,"",1
batch-04-020,629,200.0,vegetable,"",2
batch-04-020,787,100.0,fruit,"",3
batch-04-021,26,120.0,staple,"",0
batch-04-021,1039,90.0,protein,"",1
batch-04-021,633,200.0,vegetable,"",2
batch-04-021,787,100.0,fruit,"",3
batch-04-022,22,120.0,staple,"",0
batch-04-022,1018,80.0,protein,"",1
batch-04-022,634,200.0,vegetable,"",2
batch-04-022,787,100.0,fruit,"",3
batch-04-023,26,120.0,staple,"",0
batch-04-023,431,100.0,protein,"",1
batch-04-023,635,200.0,vegetable,"",2
batch-04-023,787,100.0,fruit,"",3
batch-04-024,22,120.0,staple,"",0
batch-04-024,452,70.0,protein,"",1
batch-04-024,641,200.0,vegetable,"",2
batch-04-024,787,100.0,fruit,"",3
batch-04-025,26,120.0,staple,"",0
batch-04-025,377,100.0,protein,"",1
batch-04-025,642,200.0,vegetable,"",2
batch-04-025,787,100.0,fruit,"",3
batch-04-026,22,120.0,staple,"",0
batch-04-026,378,100.0,protein,"",1
batch-04-026,622,200.0,vegetable,"",2
batch-04-026,787,100.0,fruit,"",3
batch-04-027,26,120.0,staple,"",0
batch-04-027,383,100.0,protein,"",1
batch-04-027,624,200.0,vegetable,"",2
batch-04-027,787,100.0,fruit,"",3
batch-04-028,22,120.0,staple,"",0
batch-04-028,373,100.0,protein,"",1
batch-04-028,626,200.0,vegetable,"",2
batch-04-028,787,100.0,fruit,"",3
batch-04-029,26,120.0,staple,"",0
batch-04-029,1035,60.0,protein,"",1
batch-04-029,627,200.0,vegetable,"",2
batch-04-029,787,100.0,fruit,"",3
batch-04-030,22,120.0,staple,"",0
batch-04-030,846,70.0,protein,"",1
batch-04-030,629,200.0,vegetable,"",2
batch-04-030,787,100.0,fruit,"",3
batch-04-031,26,120.0,staple,"",0
batch-04-031,1032,90.0,protein,"",1
batch-04-031,633,200.0,vegetable,"",2
batch-04-031,787,100.0,fruit,"",3
batch-04-032,22,120.0,staple,"",0
batch-04-032,376,80.0,protein,"",1
batch-04-032,634,200.0,vegetable,"",2
batch-04-032,787,100.0,fruit,"",3
batch-04-033,26,120.0,staple,"",0
batch-04-033,370,80.0,protein,"",1
batch-04-033,641,200.0,vegetable,"",2
batch-04-033,787,100.0,fruit,"",3
batch-04-034,26,110.0,staple,"",0
batch-04-034,867,75.0,protein,"",1
batch-04-034,624,220.0,vegetable,"",2
batch-04-034,756,100.0,fruit,"",3
batch-04-035,22,110.0,staple,"",0
batch-04-035,1036,85.0,protein,"",1
batch-04-035,626,220.0,vegetable,"",2
batch-04-035,756,100.0,fruit,"",3
batch-04-036,26,110.0,staple,"",0
batch-04-036,1021,85.0,protein,"",1
batch-04-036,627,220.0,vegetable,"",2
batch-04-036,756,100.0,fruit,"",3
batch-04-037,22,110.0,staple,"",0
batch-04-037,1034,75.0,protein,"",1
batch-04-037,629,220.0,vegetable,"",2
batch-04-037,756,100.0,fruit,"",3
batch-04-038,26,110.0,staple,"",0
batch-04-038,1038,85.0,protein,"",1
batch-04-038,633,220.0,vegetable,"",2
batch-04-038,756,100.0,fruit,"",3
batch-04-039,22,110.0,staple,"",0
batch-04-039,1039,85.0,protein,"",1
batch-04-039,634,220.0,vegetable,"",2
batch-04-039,756,100.0,fruit,"",3
batch-04-040,26,110.0,staple,"",0
batch-04-040,1018,75.0,protein,"",1
batch-04-040,635,220.0,vegetable,"",2
batch-04-040,756,100.0,fruit,"",3
batch-04-041,22,110.0,staple,"",0
batch-04-041,431,95.0,protein,"",1
batch-04-041,641,220.0,vegetable,"",2
batch-04-041,756,100.0,fruit,"",3
batch-04-042,26,110.0,staple,"",0
batch-04-042,452,65.0,protein,"",1
batch-04-042,642,220.0,vegetable,"",2
batch-04-042,756,100.0,fruit,"",3
batch-04-043,22,110.0,staple,"",0
batch-04-043,377,95.0,protein,"",1
batch-04-043,622,220.0,vegetable,"",2
batch-04-043,756,100.0,fruit,"",3
batch-04-044,26,110.0,staple,"",0
batch-04-044,378,95.0,protein,"",1
batch-04-044,624,220.0,vegetable,"",2
batch-04-044,756,100.0,fruit,"",3
batch-04-045,22,110.0,staple,"",0
batch-04-045,383,95.0,protein,"",1
batch-04-045,626,220.0,vegetable,"",2
batch-04-045,756,100.0,fruit,"",3
batch-04-046,26,110.0,staple,"",0
batch-04-046,373,95.0,protein,"",1
batch-04-046,627,220.0,vegetable,"",2
batch-04-046,756,100.0,fruit,"",3
batch-04-047,22,110.0,staple,"",0
batch-04-047,1035,55.0,protein,"",1
batch-04-047,629,220.0,vegetable,"",2
batch-04-047,756,100.0,fruit,"",3
batch-04-048,26,110.0,staple,"",0
batch-04-048,846,65.0,protein,"",1
batch-04-048,633,220.0,vegetable,"",2
batch-04-048,756,100.0,fruit,"",3
batch-04-049,22,110.0,staple,"",0
batch-04-049,1032,85.0,protein,"",1
batch-04-049,634,220.0,vegetable,"",2
batch-04-049,756,100.0,fruit,"",3
batch-04-050,26,110.0,staple,"",0
batch-04-050,376,75.0,protein,"",1
batch-04-050,635,220.0,vegetable,"",2
batch-04-050,756,100.0,fruit,"",3
batch-04-051,22,110.0,staple,"",0
batch-04-051,370,75.0,protein,"",1
batch-04-051,642,220.0,vegetable,"",2
batch-04-051,756,100.0,fruit,"",3
batch-04-052,1145,100.0,beverage,"",0
batch-04-052,685,120.0,fruit,"",1
batch-04-053,1145,120.0,beverage,"",0
batch-04-053,787,150.0,fruit,"",1
batch-04-054,253,80.0,staple,"",0
batch-04-054,749,120.0,fruit,"",1
batch-04-055,251,80.0,staple,"",0
batch-04-055,713,100.0,fruit,"",1
batch-04-056,377,50.0,protein,"",0
batch-04-056,756,80.0,fruit,"",1
batch-04-057,378,60.0,protein,"",0
batch-04-057,721,100.0,fruit,"",1
batch-04-058,31,100.0,staple,"",0
batch-04-058,751,100.0,fruit,"",1
batch-04-059,243,80.0,staple,"",0
batch-04-059,787,150.0,fruit,"",1
batch-04-060,431,60.0,protein,"",0
batch-04-060,685,100.0,fruit,"",1
batch-05-001,245,150.0,staple,"",0
batch-05-001,377,80.0,protein,"",1
batch-05-001,694,100.0,fruit,"",2
batch-05-002,247,150.0,staple,"",0
batch-05-002,378,80.0,protein,"",1
batch-05-002,736,100.0,fruit,"",2
batch-05-003,250,150.0,staple,"",0
batch-05-003,383,80.0,protein,"",1
batch-05-003,688,100.0,fruit,"",2
batch-05-004,251,150.0,staple,"",0
batch-05-004,431,80.0,protein,"",1
batch-05-004,712,100.0,fruit,"",2
batch-05-005,252,150.0,staple,"",0
batch-05-005,373,80.0,protein,"",1
batch-05-005,717,100.0,fruit,"",2
batch-05-006,253,120.0,staple,"",0
batch-05-006,1145,150.0,beverage,"",1
batch-05-006,725,100.0,fruit,"",2
batch-05-007,249,150.0,staple,"",0
batch-05-007,383,80.0,protein,"",1
batch-05-007,746,100.0,fruit,"",2
batch-05-008,31,120.0,staple,"",0
batch-05-008,377,80.0,protein,"",1
batch-05-008,694,100.0,fruit,"",2
batch-05-009,33,120.0,staple,"",0
batch-05-009,378,80.0,protein,"",1
batch-05-009,736,100.0,fruit,"",2
batch-05-010,45,60.0,staple,"",0
batch-05-010,1144,200.0,beverage,"",1
batch-05-010,688,100.0,fruit,"",2
batch-05-011,243,150.0,staple,"",0
batch-05-011,373,80.0,protein,"",1
batch-05-011,712,100.0,fruit,"",2
batch-05-012,244,120.0,staple,"",0
batch-05-012,431,80.0,protein,"",1
batch-05-012,717,100.0,fruit,"",2
batch-05-013,245,150.0,staple,"",0
batch-05-013,1145,150.0,beverage,"",1
batch-05-013,725,100.0,fruit,"",2
batch-05-014,250,150.0,staple,"",0
batch-05-014,377,80.0,protein,"",1
batch-05-014,746,100.0,fruit,"",2
batch-05-015,247,150.0,staple,"",0
batch-05-015,383,80.0,protein,"",1
batch-05-015,694,100.0,fruit,"",2
batch-05-016,22,120.0,staple,"",0
batch-05-016,867,80.0,protein,"",1
batch-05-016,623,200.0,vegetable,"",2
batch-05-016,694,100.0,fruit,"",3
batch-05-017,26,120.0,staple,"",0
