id,slug,name,description,meal_type,serving_size_g,serving_description,curation_status,is_pilot,nutrition_source,calculation_version,curation_notes,created_at,updated_at,curation_batch
batch-02-011,batch-02-jagung-rebus-tahu-dan-nanas,"Jagung Rebus, Tahu, dan Nanas","Jagung Rebus, Tahu, dan Nanas, disusun dari komponen pangan TKPI dengan porsi terukur.",breakfast,300.0,"1 porsi (300 g)",approved,0,"Tabel Komposisi Pangan Indonesia 2017",tkpi-weighted-v1,"Kandidat Batch 2. Komponen dipilih dari data TKPI dengan makro dan natrium tersedia.",2026-07-28T09:41:26.334Z,2026-07-28T09:47:56.053Z,2
batch-02-012,batch-02-ubi-kuning-kacang-merah-dan-pisang-ambon,"Ubi Kuning, Kacang Merah, dan Pisang Ambon","Ubi Kuning, Kacang Merah, dan Pisang Ambon, disusun dari komponen pangan TKPI dengan porsi terukur.",breakfast,330.0,"1 porsi (330 g)",approved,0,"Tabel Komposisi Pangan Indonesia 2017",tkpi-weighted-v1,"Kandidat Batch 2. Komponen dipilih dari data TKPI dengan makro dan natrium tersedia.",2026-07-28T09:41:26.334Z,2026-07-28T09:47:56.053Z,2
batch-02-013,batch-02-singkong-kukus-yoghurt-dan-melon,"Singkong Kukus, Yoghurt, dan Melon","Singkong Kukus, Yoghurt, dan Melon, disusun dari komponen pangan TKPI dengan porsi terukur.",breakfast,400.0,"1 porsi (400 g)",approved,0,"Tabel Komposisi Pangan Indonesia 2017",tkpi-weighted-v1,"Kandidat Batch 2. Komponen dipilih dari data TKPI dengan makro dan natrium tersedia.",2026-07-28T09:41:26.334Z,2026-07-28T09:47:56.053Z,2
batch-02-014,batch-02-talas-kukus-kacang-gude-dan-jambu-biji,"Talas Kukus, Kacang Gude, dan Jambu Biji","Talas Kukus, Kacang Gude, dan Jambu Biji, disusun dari komponen pangan TKPI dengan porsi terukur.",breakfast,330.0,"1 porsi (330 g)",approved,0,"Tabel Komposisi Pangan Indonesia 2017",tkpi-weighted-v1,"Kandidat Batch 2. Komponen dipilih dari data TKPI dengan makro dan natrium tersedia.",2026-07-28T09:41:26.334Z,2026-07-28T09:47:56.053Z,2
batch-02-015,batch-02-jagung-pipil-kacang-merah-dan-apel,"Jagung Pipil, Kacang Merah, dan Apel","Jagung Pipil, Kacang Merah, dan Apel, disusun dari komponen pangan TKPI dengan porsi terukur.",breakfast,300.0,"1 porsi (300 g)",approved,0,"Tabel Komposisi Pangan Indonesia 2017",tkpi-weighted-v1,"Kandidat Batch 2. Komponen dipilih dari data TKPI dengan makro dan natrium tersedia.",2026-07-28T09:41:26.334Z,2026-07-28T09:47:56.053Z,2
batch-02-016,batch-02-nasi-ayam-kalasan-buncis-dan-apel,"Nasi, Ayam Kalasan, Buncis, dan Apel","Nasi, Ayam Kalasan, Buncis, dan Apel, disusun dari komponen pangan TKPI dengan porsi terukur.",lunch,500.0,"1 porsi (500 g)",approved,0,"Tabel Komposisi Pangan Indonesia 2017",tkpi-weighted-v1,"Kandidat Batch 2. Komponen dipilih dari data TKPI dengan makro dan natrium tersedia.",2026-07-28T09:41:26.334Z,2026-07-28T09:47:56.054Z,2
batch-02-017,batch-02-nasi-merah-pepes-mujahir-daun-kelor-dan-jeruk,"Nasi Merah, Pepes Mujahir, Daun Kelor, dan Jeruk","Nasi Merah, Pepes Mujahir, Daun Kelor, dan Jeruk, disusun dari komponen pangan TKPI dengan porsi terukur.",lunch,510.0,"1 porsi (510 g)",approved,0,"Tabel Komposisi Pangan Indonesia 2017",tkpi-weighted-v1,"Kandidat Batch 2. Komponen dipilih dari data TKPI dengan makro dan natrium tersedia.",2026-07-28T09:41:26.334Z,2026-07-28T09:47:56.054Z,2
batch-02-018,batch-02-nasi-ikan-baung-daun-singkong-dan-melon,"Nasi, Ikan Baung, Daun Singkong, dan Melon","Nasi, Ikan Baung, Daun Singkong, dan Melon, disusun dari komponen pangan TKPI dengan porsi terukur.",lunch,510.0,"1 porsi (510 g)",approved,0,"Tabel Komposisi Pangan Indonesia 2017",tkpi-weighted-v1,"Kandidat Batch 2. Komponen dipilih dari data TKPI dengan makro dan natrium tersedia.",2026-07-28T09:41:26.335Z,2026-07-28T09:47:56.054Z,2
batch-02-019,batch-02-nasi-merah-pepes-ikan-mas-kacang-panjang-dan-nanas,"Nasi Merah, Pepes Ikan Mas, Kacang Panjang, dan Nanas","Nasi Merah, Pepes Ikan Mas, Kacang Panjang, dan Nanas, disusun dari komponen pangan TKPI dengan porsi terukur.",lunch,500.0,"1 porsi (500 g)",approved,0,"Tabel Komposisi Pangan Indonesia 2017",tkpi-weighted-v1,"Kandidat Batch 2. Komponen dipilih dari data TKPI dengan makro dan natrium tersedia.",2026-07-28T09:41:26.341Z,2026-07-28T09:47:56.054Z,2
batch-02-020,batch-02-nasi-ikan-papuyu-kangkung-dan-jambu-biji,"Nasi, Ikan Papuyu, Kangkung, dan Jambu Biji","Nasi, Ikan Papuyu, Kangkung, dan Jambu Biji, disusun dari komponen pangan TKPI dengan porsi terukur.",lunch,510.0,"1 porsi (510 g)",approved,0,"Tabel Komposisi Pangan Indonesia 2017",tkpi-weighted-v1,"Kandidat Batch 2. Komponen dipilih dari data TKPI dengan makro dan natrium tersedia.",2026-07-28T09:41:26.341Z,2026-07-28T09:47:56.054Z,2
batch-02-021,batch-02-nasi-merah-ikan-patin-kangkung-rebus-dan-pisang,"Nasi Merah, Ikan Patin, Kangkung Rebus, dan Pisang","Nasi Merah, Ikan Patin, Kangkung Rebus, dan Pisang, disusun dari komponen pangan TKPI dengan porsi terukur.",lunch,510.0,"1 porsi (510 g)",approved,0,"Tabel Komposisi Pangan Indonesia 2017",tkpi-weighted-v1,"Kandidat Batch 2. Komponen dipilih dari data TKPI dengan makro dan natrium tersedia.",2026-07-28T09:41:26.341Z,2026-07-28T09:47:56.054Z,2
batch-02-022,batch-02-nasi-cumi-wortel-dan-melon,"Nasi, Cumi, Wortel, dan Melon","Nasi, Cumi, Wortel, dan Melon, disusun dari komponen pangan TKPI dengan porsi terukur.",lunch,500.0,"1 porsi (500 g)",approved,0,"Tabel Komposisi Pangan Indonesia 2017",tkpi-weighted-v1,"Kandidat Batch 2. Komponen dipilih dari data TKPI dengan makro dan natrium tersedia.",2026-07-28T09:41:26.341Z,2026-07-28T09:47:56.054Z,2
batch-02-023,batch-02-nasi-merah-tahu-wortel-kukus-dan-jeruk,"Nasi Merah, Tahu, Wortel Kukus, dan Jeruk","Nasi Merah, Tahu, Wortel Kukus, dan Jeruk, disusun dari komponen pangan TKPI dengan porsi terukur.",lunch,520.0,"1 porsi (520 g)",approved,0,"Tabel Komposisi Pangan Indonesia 2017",tkpi-weighted-v1,"Kandidat Batch 2. Komponen dipilih dari data TKPI dengan makro dan natrium tersedia.",2026-07-28T09:41:26.341Z,2026-07-28T09:47:56.054Z,2
batch-02-024,batch-02-nasi-tempe-bayam-dan-apel,"Nasi, Tempe, Bayam, dan Apel","Nasi, Tempe, Bayam, dan Apel, disusun dari komponen pangan TKPI dengan porsi terukur.",lunch,490.0,"1 porsi (490 g)",approved,0,"Tabel Komposisi Pangan Indonesia 2017",tkpi-weighted-v1,"Kandidat Batch 2. Komponen dipilih dari data TKPI dengan makro dan natrium tersedia.",2026-07-28T09:41:26.342Z,2026-07-28T09:47:56.054Z,2
batch-02-025,batch-02-nasi-merah-kacang-merah-buncis-dan-nanas,"Nasi Merah, Kacang Merah, Buncis, dan Nanas","Nasi Merah, Kacang Merah, Buncis, dan Nanas, disusun dari komponen pangan TKPI dengan porsi terukur.",lunch,520.0,"1 porsi (520 g)",approved,0,"Tabel Komposisi Pangan Indonesia 2017",tkpi-weighted-v1,"Kandidat Batch 2. Komponen dipilih dari data TKPI dengan makro dan natrium tersedia.",2026-07-28T09:41:26.342Z,2026-07-28T09:47:56.054Z,2
batch-02-026,batch-02-nasi-kacang-merah-segar-daun-kelor-dan-melon,"Nasi, Kacang Merah Segar, Daun Kelor, dan Melon","Nasi, Kacang Merah Segar, Daun Kelor, dan Melon, disusun dari komponen pangan TKPI dengan porsi terukur.",lunch,520.0,"1 porsi (520 g)",approved,0,"Tabel Komposisi Pangan Indonesia 2017",tkpi-weighted-v1,"Kandidat Batch 2. Komponen dipilih dari data TKPI dengan makro dan natrium tersedia.",2026-07-28T09:41:26.342Z,2026-07-28T09:47:56.054Z,2
batch-02-027,batch-02-nasi-merah-kacang-tolo-daun-singkong-dan-jambu,"Nasi Merah, Kacang Tolo, Daun Singkong, dan Jambu","Nasi Merah, Kacang Tolo, Daun Singkong, dan Jambu, disusun dari komponen pangan TKPI dengan porsi terukur.",lunch,520.0,"1 porsi (520 g)",approved,0,"Tabel Komposisi Pangan Indonesia 2017",tkpi-weighted-v1,"Kandidat Batch 2. Komponen dipilih dari data TKPI dengan makro dan natrium tersedia.",2026-07-28T09:41:26.342Z,2026-07-28T09:47:56.054Z,2
batch-02-028,batch-02-nasi-kacang-gude-kacang-panjang-dan-jeruk,"Nasi, Kacang Gude, Kacang Panjang, dan Jeruk","Nasi, Kacang Gude, Kacang Panjang, dan Jeruk, disusun dari komponen pangan TKPI dengan porsi terukur.",lunch,520.0,"1 porsi (520 g)",approved,0,"Tabel Komposisi Pangan Indonesia 2017",tkpi-weighted-v1,"Kandidat Batch 2. Komponen dipilih dari data TKPI dengan makro dan natrium tersedia.",2026-07-28T09:41:26.342Z,2026-07-28T09:47:56.054Z,2
batch-02-029,batch-02-nasi-merah-mujahir-goreng-kangkung-dan-nanas,"Nasi Merah, Mujahir Goreng, Kangkung, dan Nanas","Nasi Merah, Mujahir Goreng, Kangkung, dan Nanas, disusun dari komponen pangan TKPI dengan porsi terukur.",lunch,480.0,"1 porsi (480 g)",approved,0,"Tabel Komposisi Pangan Indonesia 2017",tkpi-weighted-v1,"Kandidat Batch 2. Komponen dipilih dari data TKPI dengan makro dan natrium tersedia.",2026-07-28T09:41:26.342Z,2026-07-28T09:47:56.054Z,2
batch-02-030,batch-02-nasi-bebek-goreng-kangkung-rebus-dan-melon,"Nasi, Bebek Goreng, Kangkung Rebus, dan Melon","Nasi, Bebek Goreng, Kangkung Rebus, dan Melon, disusun dari komponen pangan TKPI dengan porsi terukur.",lunch,490.0,"1 porsi (490 g)",approved,0,"Tabel Komposisi Pangan Indonesia 2017",tkpi-weighted-v1,"Kandidat Batch 2. Komponen dipilih dari data TKPI dengan makro dan natrium tersedia.",2026-07-28T09:41:26.343Z,2026-07-28T09:47:56.054Z,2
batch-02-031,batch-02-nasi-merah-ikan-lais-wortel-dan-apel,"Nasi Merah, Ikan Lais, Wortel, dan Apel","Nasi Merah, Ikan Lais, Wortel, dan Apel, disusun dari komponen pangan TKPI dengan porsi terukur.",lunch,510.0,"1 porsi (510 g)",approved,0,"Tabel Komposisi Pangan Indonesia 2017",tkpi-weighted-v1,"Kandidat Batch 2. Komponen dipilih dari data TKPI dengan makro dan natrium tersedia.",2026-07-28T09:41:26.343Z,2026-07-28T09:47:56.055Z,2
batch-02-032,batch-02-nasi-kedelai-rebus-wortel-kukus-dan-jeruk,"Nasi, Kedelai Rebus, Wortel Kukus, dan Jeruk","Nasi, Kedelai Rebus, Wortel Kukus, dan Jeruk, disusun dari komponen pangan TKPI dengan porsi terukur.",lunch,500.0,"1 porsi (500 g)",approved,0,"Tabel Komposisi Pangan Indonesia 2017",tkpi-weighted-v1,"Kandidat Batch 2. Komponen dipilih dari data TKPI dengan makro dan natrium tersedia.",2026-07-28T09:41:26.343Z,2026-07-28T09:47:56.055Z,2
batch-02-033,batch-02-nasi-merah-kacang-belimbing-daun-katuk-dan-nanas,"Nasi Merah, Kacang Belimbing, Daun Katuk, dan Nanas","Nasi Merah, Kacang Belimbing, Daun Katuk, dan Nanas, disusun dari komponen pangan TKPI dengan porsi terukur.",lunch,500.0,"1 porsi (500 g)",approved,0,"Tabel Komposisi Pangan Indonesia 2017",tkpi-weighted-v1,"Kandidat Batch 2. Komponen dipilih dari data TKPI dengan makro dan natrium tersedia.",2026-07-28T09:41:26.343Z,2026-07-28T09:47:56.055Z,2
batch-02-034,batch-02-nasi-merah-ayam-kalasan-daun-kelor-dan-melon,"Nasi Merah, Ayam Kalasan, Daun Kelor, dan Melon","Nasi Merah, Ayam Kalasan, Daun Kelor, dan Melon, disusun dari komponen pangan TKPI dengan porsi terukur.",dinner,505.0,"1 porsi (505 g)",approved,0,"Tabel Komposisi Pangan Indonesia 2017",tkpi-weighted-v1,"Kandidat Batch 2. Komponen dipilih dari data TKPI dengan makro dan natrium tersedia.",2026-07-28T09:41:26.343Z,2026-07-28T09:47:56.055Z,2
batch-02-035,batch-02-nasi-pepes-mujahir-buncis-dan-jambu-biji,"Nasi, Pepes Mujahir, Buncis, dan Jambu Biji","Nasi, Pepes Mujahir, Buncis, dan Jambu Biji, disusun dari komponen pangan TKPI dengan porsi terukur.",dinner,515.0,"1 porsi (515 g)",approved,0,"Tabel Komposisi Pangan Indonesia 2017",tkpi-weighted-v1,"Kandidat Batch 2. Komponen dipilih dari data TKPI dengan makro dan natrium tersedia.",2026-07-28T09:41:26.344Z,2026-07-28T09:47:56.055Z,2
batch-02-036,batch-02-nasi-merah-ikan-baung-kacang-panjang-dan-jeruk,"Nasi Merah, Ikan Baung, Kacang Panjang, dan Jeruk","Nasi Merah, Ikan Baung, Kacang Panjang, dan Jeruk, disusun dari komponen pangan TKPI dengan porsi terukur.",dinner,515.0,"1 porsi (515 g)",approved,0,"Tabel Komposisi Pangan Indonesia 2017",tkpi-weighted-v1,"Kandidat Batch 2. Komponen dipilih dari data TKPI dengan makro dan natrium tersedia.",2026-07-28T09:41:26.344Z,2026-07-28T09:47:56.055Z,2
batch-02-037,batch-02-nasi-pepes-ikan-mas-daun-singkong-dan-nanas,"Nasi, Pepes Ikan Mas, Daun Singkong, dan Nanas","Nasi, Pepes Ikan Mas, Daun Singkong, dan Nanas, disusun dari komponen pangan TKPI dengan porsi terukur.",dinner,505.0,"1 porsi (505 g)",approved,0,"Tabel Komposisi Pangan Indonesia 2017",tkpi-weighted-v1,"Kandidat Batch 2. Komponen dipilih dari data TKPI dengan makro dan natrium tersedia.",2026-07-28T09:41:26.344Z,2026-07-28T09:47:56.055Z,2
batch-02-038,batch-02-nasi-merah-ikan-papuyu-kangkung-dan-apel,"Nasi Merah, Ikan Papuyu, Kangkung, dan Apel","Nasi Merah, Ikan Papuyu, Kangkung, dan Apel, disusun dari komponen pangan TKPI dengan porsi terukur.",dinner,515.0,"1 porsi (515 g)",approved,0,"Tabel Komposisi Pangan Indonesia 2017",tkpi-weighted-v1,"Kandidat Batch 2. Komponen dipilih dari data TKPI dengan makro dan natrium tersedia.",2026-07-28T09:41:26.344Z,2026-07-28T09:47:56.055Z,2
batch-02-039,batch-02-nasi-ikan-patin-wortel-dan-melon,"Nasi, Ikan Patin, Wortel, dan Melon","Nasi, Ikan Patin, Wortel, dan Melon, disusun dari komponen pangan TKPI dengan porsi terukur.",dinner,515.0,"1 porsi (515 g)",approved,0,"Tabel Komposisi Pangan Indonesia 2017",tkpi-weighted-v1,"Kandidat Batch 2. Komponen dipilih dari data TKPI dengan makro dan natrium tersedia.",2026-07-28T09:41:26.344Z,2026-07-28T09:47:56.055Z,2
batch-02-040,batch-02-nasi-merah-cumi-bayam-dan-jeruk,"Nasi Merah, Cumi, Bayam, dan Jeruk","Nasi Merah, Cumi, Bayam, dan Jeruk, disusun dari komponen pangan TKPI dengan porsi terukur.",dinner,505.0,"1 porsi (505 g)",approved,0,"Tabel Komposisi Pangan Indonesia 2017",tkpi-weighted-v1,"Kandidat Batch 2. Komponen dipilih dari data TKPI dengan makro dan natrium tersedia.",2026-07-28T09:41:26.345Z,2026-07-28T09:47:56.055Z,2
batch-02-041,batch-02-nasi-tahu-kangkung-kukus-dan-jambu-biji,"Nasi, Tahu, Kangkung Kukus, dan Jambu Biji","Nasi, Tahu, Kangkung Kukus, dan Jambu Biji, disusun dari komponen pangan TKPI dengan porsi terukur.",dinner,520.0,"1 porsi (520 g)",approved,0,"Tabel Komposisi Pangan Indonesia 2017",tkpi-weighted-v1,"Kandidat Batch 2. Komponen dipilih dari data TKPI dengan makro dan natrium tersedia.",2026-07-28T09:41:26.349Z,2026-07-28T09:47:56.055Z,2
batch-02-042,batch-02-nasi-merah-tempe-daun-kelor-dan-nanas,"Nasi Merah, Tempe, Daun Kelor, dan Nanas","Nasi Merah, Tempe, Daun Kelor, dan Nanas, disusun dari komponen pangan TKPI dengan porsi terukur.",dinner,495.0,"1 porsi (495 g)",approved,0,"Tabel Komposisi Pangan Indonesia 2017",tkpi-weighted-v1,"Kandidat Batch 2. Komponen dipilih dari data TKPI dengan makro dan natrium tersedia.",2026-07-28T09:41:26.350Z,2026-07-28T09:47:56.056Z,2
batch-02-043,batch-02-nasi-kacang-merah-kacang-panjang-dan-melon,"Nasi, Kacang Merah, Kacang Panjang, dan Melon","Nasi, Kacang Merah, Kacang Panjang, dan Melon, disusun dari komponen pangan TKPI dengan porsi terukur.",dinner,520.0,"1 porsi (520 g)",approved,0,"Tabel Komposisi Pangan Indonesia 2017",tkpi-weighted-v1,"Kandidat Batch 2. Komponen dipilih dari data TKPI dengan makro dan natrium tersedia.",2026-07-28T09:41:26.350Z,2026-07-28T09:47:56.056Z,2
batch-02-044,batch-02-nasi-merah-kacang-merah-segar-wortel-dan-apel,"Nasi Merah, Kacang Merah Segar, Wortel, dan Apel","Nasi Merah, Kacang Merah Segar, Wortel, dan Apel, disusun dari komponen pangan TKPI dengan porsi terukur.",dinner,520.0,"1 porsi (520 g)",approved,0,"Tabel Komposisi Pangan Indonesia 2017",tkpi-weighted-v1,"Kandidat Batch 2. Komponen dipilih dari data TKPI dengan makro dan natrium tersedia.",2026-07-28T09:41:26.350Z,2026-07-28T09:47:56.056Z,2
batch-02-045,batch-02-nasi-kacang-tolo-buncis-dan-jeruk,"Nasi, Kacang Tolo, Buncis, dan Jeruk","Nasi, Kacang Tolo, Buncis, dan Jeruk, disusun dari komponen pangan TKPI dengan porsi terukur.",dinner,520.0,"1 porsi (520 g)",approved,0,"Tabel Komposisi Pangan Indonesia 2017",tkpi-weighted-v1,"Kandidat Batch 2. Komponen dipilih dari data TKPI dengan makro dan natrium tersedia.",2026-07-28T09:41:26.350Z,2026-07-28T09:47:56.056Z,2
batch-02-046,batch-02-nasi-merah-kacang-gude-daun-singkong-dan-jambu,"Nasi Merah, Kacang Gude, Daun Singkong, dan Jambu","Nasi Merah, Kacang Gude, Daun Singkong, dan Jambu, disusun dari komponen pangan TKPI dengan porsi terukur.",dinner,520.0,"1 porsi (520 g)",approved,0,"Tabel Komposisi Pangan Indonesia 2017",tkpi-weighted-v1,"Kandidat Batch 2. Komponen dipilih dari data TKPI dengan makro dan natrium tersedia.",2026-07-28T09:41:26.350Z,2026-07-28T09:47:56.056Z,2
batch-02-047,batch-02-nasi-mujahir-goreng-kangkung-dan-melon,"Nasi, Mujahir Goreng, Kangkung, dan Melon","Nasi, Mujahir Goreng, Kangkung, dan Melon, disusun dari komponen pangan TKPI dengan porsi terukur.",dinner,485.0,"1 porsi (485 g)",approved,0,"Tabel Komposisi Pangan Indonesia 2017",tkpi-weighted-v1,"Kandidat Batch 2. Komponen dipilih dari data TKPI dengan makro dan natrium tersedia.",2026-07-28T09:41:26.351Z,2026-07-28T09:47:56.056Z,2
batch-02-048,batch-02-nasi-merah-bebek-goreng-kangkung-rebus-dan-nanas,"Nasi Merah, Bebek Goreng, Kangkung Rebus, dan Nanas","Nasi Merah, Bebek Goreng, Kangkung Rebus, dan Nanas, disusun dari komponen pangan TKPI dengan porsi terukur.",dinner,495.0,"1 porsi (495 g)",approved,0,"Tabel Komposisi Pangan Indonesia 2017",tkpi-weighted-v1,"Kandidat Batch 2. Komponen dipilih dari data TKPI dengan makro dan natrium tersedia.",2026-07-28T09:41:26.351Z,2026-07-28T09:47:56.056Z,2
batch-02-049,batch-02-nasi-ikan-lais-wortel-kukus-dan-apel,"Nasi, Ikan Lais, Wortel Kukus, dan Apel","Nasi, Ikan Lais, Wortel Kukus, dan Apel, disusun dari komponen pangan TKPI dengan porsi terukur.",dinner,515.0,"1 porsi (515 g)",approved,0,"Tabel Komposisi Pangan Indonesia 2017",tkpi-weighted-v1,"Kandidat Batch 2. Komponen dipilih dari data TKPI dengan makro dan natrium tersedia.",2026-07-28T09:41:26.351Z,2026-07-28T09:47:56.056Z,2
batch-02-050,batch-02-nasi-merah-kedelai-rebus-daun-katuk-dan-jeruk,"Nasi Merah, Kedelai Rebus, Daun Katuk, dan Jeruk","Nasi Merah, Kedelai Rebus, Daun Katuk, dan Jeruk, disusun dari komponen pangan TKPI dengan porsi terukur.",dinner,505.0,"1 porsi (505 g)",approved,0,"Tabel Komposisi Pangan Indonesia 2017",tkpi-weighted-v1,"Kandidat Batch 2. Komponen dipilih dari data TKPI dengan makro dan natrium tersedia.",2026-07-28T09:41:26.351Z,2026-07-28T09:47:56.056Z,2
batch-02-051,batch-02-nasi-kacang-belimbing-bayam-dan-jambu-biji,"Nasi, Kacang Belimbing, Bayam, dan Jambu Biji","Nasi, Kacang Belimbing, Bayam, dan Jambu Biji, disusun dari komponen pangan TKPI dengan porsi terukur.",dinner,505.0,"1 porsi (505 g)",approved,0,"Tabel Komposisi Pangan Indonesia 2017",tkpi-weighted-v1,"Kandidat Batch 2. Komponen dipilih dari data TKPI dengan makro dan natrium tersedia.",2026-07-28T09:41:26.351Z,2026-07-28T09:47:56.056Z,2
batch-02-052,batch-02-yoghurt-dan-jambu-biji,"Yoghurt dan Jambu Biji","Yoghurt dan Jambu Biji, disusun dari komponen pangan TKPI dengan porsi terukur.",snack,250.0,"1 porsi (250 g)",approved,0,"Tabel Komposisi Pangan Indonesia 2017",tkpi-weighted-v1,"Kandidat Batch 2. Komponen dipilih dari data TKPI dengan makro dan natrium tersedia.",2026-07-28T09:41:26.351Z,2026-07-28T09:47:56.056Z,2
batch-02-053,batch-02-yoghurt-dan-jeruk-manis,"Yoghurt dan Jeruk Manis","Yoghurt dan Jeruk Manis, disusun dari komponen pangan TKPI dengan porsi terukur.",snack,250.0,"1 porsi (250 g)",approved,0,"Tabel Komposisi Pangan Indonesia 2017",tkpi-weighted-v1,"Kandidat Batch 2. Komponen dipilih dari data TKPI dengan makro dan natrium tersedia.",2026-07-28T09:41:26.351Z,2026-07-28T09:47:56.056Z,2
