menu_id,menu_name,serving_size_g,energy_kcal,protein_g,fat_g,carbohydrate_g,fiber_g,sodium_mg,meal_type
batch-03-007,"Singkong Kukus, Kacang Tolo, dan Pisang",330.0,447.9,11.36,2.13,96.98,4.57,23.4,breakfast
batch-03-008,"Jagung Rebus, Kacang Merah, dan Jeruk",300.0,341.8,15.14,1.76,70.12,4.44,14.8,breakfast
batch-03-009,"Jagung Pipil, Kacang Merah Segar, dan Nanas",300.0,358.0,13.26,5.2,67.14,5.24,17.8,breakfast
batch-03-010,"Roti, Susu Skim, dan Melon",360.0,257.8,12.4,1.32,48.0,,421.0,breakfast
batch-03-011,"Ubi Kukus, Kacang Gude, dan Apel",360.0,340.2,9.86,1.34,72.6,10.9,32.8,breakfast
batch-03-012,"Ubi Rebus, Tahu, dan Jambu Biji",300.0,359.4,11.54,7.58,64.84,13.52,39.6,breakfast
batch-03-013,"Talas Belitung, Yoghurt, dan Pisang Ambon",400.0,403.5,7.75,5.15,81.6,3.4,80.5,breakfast
batch-03-014,"Suweg Kukus, Kacang Merah, dan Jeruk",360.0,338.8,11.84,1.1,73.18,5.1,19.6,breakfast
batch-03-015,"Ubi Gadung, Kacang Tolo, dan Nanas",360.0,326.8,10.34,1.62,69.0,3.94,28.2,breakfast
batch-03-016,"Nasi Merah, Ayam Kalasan, Kacang Panjang, dan Jambu Biji",500.0,507.8,38.78,11.34,63.84,5.56,204.8,lunch
batch-03-017,"Nasi, Pepes Mujahir, Kangkung, dan Melon",510.0,421.9,30.13,4.68,65.68,4.84,170.4,lunch
batch-03-018,"Nasi Merah, Ikan Baung, Kangkung Rebus, dan Nanas",510.0,410.4,25.08,7.1,63.18,,226.2,lunch
batch-03-019,"Nasi, Pepes Ikan Mas, Wortel, dan Apel",500.0,496.2,17.66,10.8,82.6,3.04,146.0,lunch
batch-03-020,"Nasi Merah, Ikan Papuyu, Wortel Kukus, dan Jeruk",510.0,434.6,22.1,7.37,72.83,3.96,384.0,lunch
batch-03-021,"Nasi, Ikan Patin, Daun Katuk, dan Jambu Biji",510.0,500.6,30.85,8.13,82.03,,384.3,lunch
batch-03-022,"Nasi Merah, Cumi, Daun Kelor, dan Nanas",500.0,570.8,48.74,10.56,72.3,3.76,171.8,lunch
batch-03-023,"Nasi, Tahu, Daun Singkong, dan Melon",520.0,430.0,21.3,10.46,67.66,4.54,61.2,lunch
batch-03-024,"Nasi Merah, Tempe, Kacang Panjang, dan Jeruk",490.0,519.0,22.86,21.08,67.26,6.94,72.0,lunch
batch-03-025,"Nasi, Kacang Merah, Kangkung, dan Apel",520.0,491.0,20.8,3.06,98.16,7.24,100.8,lunch
batch-03-026,"Nasi Merah, Kacang Merah Segar, Kangkung Rebus, dan Jambu Biji",520.0,415.8,19.26,2.98,82.1,8.66,84.0,lunch
batch-03-027,"Nasi, Kacang Tolo, Wortel, dan Nanas",520.0,468.0,16.4,2.66,96.26,4.34,103.2,lunch
batch-03-028,"Nasi Merah, Kacang Gude, Wortel Kukus, dan Melon",520.0,436.8,14.96,2.58,90.9,6.96,133.0,lunch
batch-03-029,"Nasi, Mujahir Goreng, Daun Katuk, dan Jeruk",480.0,616.6,43.24,16.7,77.16,4.04,69.6,lunch
batch-03-030,"Nasi Merah, Bebek Goreng, Daun Kelor, dan Apel",490.0,567.8,32.86,17.17,74.95,2.96,123.4,lunch
batch-03-031,"Nasi, Ikan Lais, Daun Singkong, dan Jambu Biji",510.0,459.3,27.65,7.71,74.42,,165.0,lunch
batch-03-032,"Nasi Merah, Kedelai Rebus, Kacang Panjang, dan Nanas",500.0,448.0,24.82,8.04,74.06,6.04,205.8,lunch
batch-03-033,"Nasi, Kacang Belimbing, Kangkung, dan Melon",500.0,476.2,24.12,9.2,78.96,8.68,152.6,lunch
batch-03-034,"Nasi, Ayam Kalasan, Wortel, dan Jeruk",505.0,510.85,33.79,10.78,69.815,3.38,227.3,dinner
batch-03-035,"Nasi Merah, Pepes Mujahir, Wortel Kukus, dan Nanas",515.0,406.15,24.425,4.34,67.99,4.35,156.4,dinner
batch-03-036,"Nasi, Ikan Baung, Daun Katuk, dan Apel",515.0,494.0,30.59,7.64,81.02,,182.7,dinner
batch-03-037,"Nasi Merah, Pepes Ikan Mas, Daun Kelor, dan Melon",505.0,491.85,28.5,11.295,74.4,3.685,187.0,dinner
batch-03-038,"Nasi, Ikan Papuyu, Daun Singkong, dan Nanas",515.0,453.4,27.1,7.035,73.335,5.34,308.7,dinner
batch-03-039,"Nasi Merah, Ikan Patin, Kacang Panjang, dan Jeruk",515.0,397.3,23.915,6.875,63.365,,384.45,dinner
batch-03-040,"Nasi, Cumi, Kangkung, dan Jambu Biji",505.0,511.75,41.69,9.745,66.32,6.58,174.6,dinner
batch-03-041,"Nasi Merah, Tahu, Kangkung Rebus, dan Apel",520.0,372.8,17.81,9.81,57.62,3.86,83.6,dinner
batch-03-042,"Nasi, Tempe, Wortel, dan Nanas",495.0,536.0,18.54,19.83,76.01,5.79,111.3,dinner
batch-03-043,"Nasi Merah, Kacang Merah, Wortel Kukus, dan Jeruk",520.0,432.5,15.45,2.77,90.59,6.49,109.5,dinner
batch-03-044,"Nasi, Kacang Merah Segar, Daun Katuk, dan Jambu Biji",520.0,493.2,24.86,3.51,98.23,8.41,51.7,dinner
batch-03-045,"Nasi Merah, Kacang Tolo, Daun Kelor, dan Apel",520.0,479.3,26.63,3.81,90.89,3.92,119.8,dinner
batch-03-046,"Nasi, Kacang Gude, Daun Singkong, dan Melon",520.0,435.5,20.14,2.5,86.89,7.8,69.3,dinner
batch-03-047,"Nasi Merah, Mujahir Goreng, Kacang Panjang, dan Jambu Biji",485.0,507.7,34.835,14.765,60.71,5.81,98.0,dinner
batch-03-048,"Nasi, Bebek Goreng, Kangkung, dan Jeruk",495.0,504.0,26.84,15.525,68.245,5.58,126.2,dinner
batch-03-049,"Nasi Merah, Ikan Lais, Kangkung Rebus, dan Nanas",515.0,395.25,24.155,7.485,60.46,,201.4,dinner
batch-03-050,"Nasi, Kedelai Rebus, Wortel, dan Apel",505.0,458.35,20.49,7.98,79.965,3.98,230.65,dinner
batch-03-051,"Nasi Merah, Kacang Belimbing, Wortel Kukus, dan Melon",505.0,435.3,18.555,8.76,74.935,7.35,159.35,dinner
batch-03-052,Yoghurt dan Melon,250.0,107.5,4.2,3.1,15.7,1.5,80.5,snack
batch-03-053,Yoghurt dan Nanas,250.0,139.0,4.35,2.8,23.95,2.4,50.5,snack
batch-03-054,Ubi Rebus dan Jambu Biji,180.0,194.6,2.82,0.62,45.96,9.76,26.0,snack
batch-03-055,Talas Belitung dan Melon,180.0,153.0,1.56,0.72,35.16,1.8,32.6,snack
batch-03-056,Kacang Gude dan Apel,160.0,145.2,5.9,0.7,29.3,2.84,12.0,snack
batch-03-057,Kacang Belimbing dan Jeruk,150.0,147.0,9.35,4.6,19.95,3.8,25.5,snack
batch-03-058,Jagung Pipil dan Semangka,230.0,165.2,3.79,3.1,33.07,1.16,14.5,snack
batch-03-059,Suweg Kukus dan Pisang Ambon,180.0,179.4,2.3,0.74,41.34,2.42,14.0,snack
batch-03-060,Kedelai Rebus dan Nanas,150.0,152.5,10.8,4.3,19.65,2.4,97.5,snack
batch-04-001,"Talas Belitung, Kacang Merah, dan Semangka",330.0,371.9,10.54,1.52,80.76,3.98,22.3,breakfast
batch-04-002,"Ubi Gadung, Kacang Merah Segar, dan Jambu Biji",330.0,296.2,9.8,1.55,63.31,6.55,23.8,breakfast
batch-04-003,"Suweg Kukus, Kacang Tolo, dan Melon",330.0,286.9,11.41,1.43,58.73,3.07,46.4,breakfast
batch-04-004,"Talas Bogor, Tahu, dan Jeruk",330.0,317.0,10.91,7.45,55.5,2.53,26.1,breakfast
batch-04-005,"Ubi Kuning, Kacang Gude, dan Apel",330.0,324.6,8.75,1.25,70.5,5.02,19.3,breakfast
batch-04-006,"Ubi Ungu, Yoghurt, dan Nanas",370.0,334.0,6.73,4.19,67.06,2.92,68.2,breakfast
batch-04-007,"Singkong Kukus, Kacang Tolo, dan Semangka",330.0,367.9,10.86,1.53,79.58,3.07,20.4,breakfast
batch-04-008,"Jagung Rebus, Kacang Merah, dan Jambu Biji",300.0,345.8,15.14,1.86,71.12,5.44,20.8,breakfast
batch-04-009,"Jagung Pipil, Kacang Merah Segar, dan Melon",300.0,337.0,13.16,5.4,61.64,4.64,37.8,breakfast
batch-04-010,"Roti, Susu Skim, dan Nanas",360.0,278.8,12.5,1.12,53.5,,401.0,breakfast
batch-04-011,"Ubi Kukus, Kacang Gude, dan Jeruk",330.0,300.6,9.9,1.05,64.7,10.27,30.2,breakfast
batch-04-012,"Ubi Rebus, Tahu, dan Pisang Ambon",300.0,418.4,11.64,8.08,76.94,13.02,39.6,breakfast
batch-04-013,"Talas Belitung, Yoghurt, dan Apel",400.0,352.5,7.25,4.75,70.1,2.3,74.1,breakfast
batch-04-014,"Suweg Kukus, Kacang Merah, dan Jambu Biji",330.0,314.9,11.39,1.17,67.61,5.83,23.8,breakfast
batch-04-015,"Ubi Gadung, Kacang Tolo, dan Melon",330.0,279.4,10.06,1.73,57.23,3.07,46.4,breakfast
batch-04-016,"Nasi, Ayam Kalasan, Bayam, dan Semangka",500.0,524.0,36.62,11.72,67.3,3.04,179.0,lunch
batch-04-017,"Nasi Merah, Pepes Mujahir, Buncis, dan Semangka",510.0,375.7,27.79,3.6,59.42,3.76,79.2,lunch
batch-04-018,"Nasi, Ikan Baung, Daun Katuk, dan Semangka",510.0,479.6,30.72,7.58,77.54,,191.4,lunch
batch-04-019,"Nasi Merah, Pepes Ikan Mas, Daun Kelor, dan Semangka",500.0,496.0,28.22,11.52,75.34,2.96,162.2,lunch
batch-04-020,"Nasi, Ikan Papuyu, Daun Singkong, dan Semangka",510.0,442.8,27.34,7.25,70.29,3.84,322.2,lunch
batch-04-021,"Nasi Merah, Ikan Patin, Kacang Panjang, dan Semangka",510.0,396.4,24.21,7.15,61.37,,402.1,lunch
batch-04-022,"Nasi, Cumi, Kangkung, dan Semangka",500.0,516.0,42.98,10.04,64.06,4.24,167.0,lunch
batch-04-023,"Nasi Merah, Tahu, Kangkung Rebus, dan Semangka",520.0,365.8,18.56,10.38,54.6,3.26,82.0,lunch
batch-04-024,"Nasi, Tempe, Wortel, dan Semangka",490.0,535.2,19.5,21.16,72.72,4.62,104.2,lunch
batch-04-025,"Nasi Merah, Kacang Merah, Wortel Kukus, dan Semangka",520.0,438.8,16.16,2.78,90.7,5.56,105.0,lunch
batch-04-026,"Nasi, Kacang Merah Segar, Bayam, dan Semangka",520.0,448.0,16.7,2.96,90.96,6.54,44.2,lunch
batch-04-027,"Nasi Merah, Kacang Tolo, Buncis, dan Semangka",520.0,404.8,18.96,2.18,81.3,4.66,40.0,lunch
batch-04-028,"Nasi, Kacang Gude, Daun Katuk, dan Semangka",520.0,497.0,23.7,2.86,100.36,6.44,54.2,lunch
batch-04-029,"Nasi Merah, Mujahir Goreng, Daun Kelor, dan Semangka",480.0,578.4,44.2,16.82,65.9,2.56,135.4,lunch
batch-04-030,"Nasi, Bebek Goreng, Daun Singkong, dan Semangka",490.0,516.0,28.3,16.25,67.41,3.84,58.0,lunch
batch-04-031,"Nasi Merah, Ikan Lais, Kacang Panjang, dan Semangka",510.0,399.1,24.21,7.33,62.36,,188.8,lunch
batch-04-032,"Nasi, Kedelai Rebus, Kangkung, dan Semangka",500.0,455.2,26.66,8.52,74.22,5.52,243.0,lunch
batch-04-033,"Nasi Merah, Kacang Belimbing, Wortel, dan Semangka",500.0,426.0,18.78,8.72,72.5,6.2,129.4,lunch
batch-04-034,"Nasi Merah, Ayam Kalasan, Buncis, dan Pisang Ambon",505.0,544.15,36.97,10.83,75.105,5.53,162.9,dinner
batch-04-035,"Nasi, Pepes Mujahir, Daun Katuk, dan Pisang Ambon",515.0,525.45,34.405,5.49,88.78,4.76,95.6,dinner
batch-04-036,"Nasi Merah, Ikan Baung, Daun Kelor, dan Pisang Ambon",515.0,528.5,32.63,8.15,86.47,,257.3,dinner
batch-04-037,"Nasi, Pepes Ikan Mas, Daun Singkong, dan Pisang Ambon",505.0,530.95,23.84,10.925,87.49,6.015,95.2,dinner
batch-04-038,"Nasi Merah, Ikan Papuyu, Kacang Panjang, dan Pisang Ambon",515.0,467.1,24.1,7.305,78.505,5.31,340.3,dinner
batch-04-039,"Nasi, Ikan Patin, Kangkung, dan Pisang Ambon",515.0,494.4,26.215,8.025,82.075,,432.25,dinner
batch-04-040,"Nasi Merah, Cumi, Kangkung Rebus, dan Pisang Ambon",505.0,519.05,40.03,10.135,66.87,4.87,148.2,dinner
batch-04-041,"Nasi, Tahu, Wortel, dan Pisang Ambon",525.0,476.85,15.055,10.305,84.315,3.975,107.95,dinner
batch-04-042,"Nasi Merah, Tempe, Wortel Kukus, dan Pisang Ambon",495.0,571.7,19.28,20.76,83.38,6.86,123.1,dinner
batch-04-043,"Nasi, Kacang Merah, Bayam, dan Pisang Ambon",525.0,522.1,16.945,3.525,107.63,7.23,49.8,dinner
batch-04-044,"Nasi Merah, Kacang Merah Segar, Buncis, dan Pisang Ambon",525.0,474.7,18.42,2.63,97.595,8.855,36.6,dinner
batch-04-045,"Nasi, Kacang Tolo, Daun Katuk, dan Pisang Ambon",525.0,553.7,26.125,4.155,109.57,5.615,58.65,dinner
batch-04-046,"Nasi Merah, Kacang Gude, Daun Kelor, dan Pisang Ambon",525.0,545.75,26.05,3.695,108.175,7.44,127.8,dinner
batch-04-047,"Nasi, Mujahir Goreng, Daun Singkong, dan Pisang Ambon",485.0,603.0,38.235,15.595,78.64,5.64,69.4,dinner
batch-04-048,"Nasi Merah, Bebek Goreng, Kacang Panjang, dan Pisang Ambon",495.0,532.9,24.74,15.575,75.735,5.31,90.4,dinner
batch-04-049,"Nasi, Ikan Lais, Kangkung, dan Pisang Ambon",515.0,496.95,26.215,8.195,83.01,,230.8,dinner
batch-04-050,"Nasi Merah, Kedelai Rebus, Kangkung Rebus, dan Pisang Ambon",505.0,462.05,24.73,8.71,76.395,6.07,219.45,dinner
batch-04-051,"Nasi, Kacang Belimbing, Wortel Kukus, dan Pisang Ambon",505.0,540.4,19.175,9.05,99.465,8.14,137.95,dinner
batch-04-052,Yoghurt dan Apel,220.0,120.4,3.9,2.98,19.36,0.96,44.32,snack
batch-04-053,Yoghurt dan Semangka,270.0,104.4,4.71,3.3,15.15,0.6,58.5,snack
batch-04-054,Ubi Ungu dan Melon,200.0,176.4,1.44,0.64,41.2,2.08,33.2,snack
batch-04-055,Talas Bogor dan Jambu Biji,180.0,145.0,2.1,0.54,34.76,2.96,18.8,snack
batch-04-056,Kacang Merah dan Pisang Ambon,130.0,165.4,5.95,1.09,33.54,2.82,11.0,snack
batch-04-057,Kacang Merah Segar dan Jeruk,160.0,131.4,6.9,0.8,26.02,3.5,7.6,snack
batch-04-058,Jagung Rebus dan Nanas,200.0,200.0,5.7,0.9,43.6,2.4,12.0,snack
batch-04-059,Ubi Kukus dan Semangka,230.0,115.6,1.71,0.54,27.15,3.88,18.5,snack
batch-04-060,Tahu dan Apel,160.0,126.0,6.32,5.5,14.3,0.86,7.8,snack
batch-05-001,"Talas Belitung, Kacang Merah, dan Buah Naga Merah",330.0,414.9,11.74,4.42,82.96,6.78,25.3,breakfast
batch-05-002,"Ubi Gadung, Kacang Merah Segar, dan Mangga",330.0,299.2,9.6,1.25,63.41,5.75,16.8,breakfast
batch-05-003,"Suweg Kukus, Kacang Tolo, dan Belimbing",330.0,285.9,11.21,1.43,59.73,5.27,23.4,breakfast
batch-05-004,"Talas Bogor, Tahu, dan Jambu Air",330.0,318.0,10.61,7.45,56.1,3.23,33.1,breakfast
batch-05-005,"Ubi Kuning, Kacang Gude, dan Jeruk Bali",330.0,315.6,8.85,1.05,70.1,5.02,36.7,breakfast
batch-05-006,"Ubi Ungu, Yoghurt, dan Kedondong",370.0,322.0,7.03,4.09,64.06,3.92,63.2,breakfast
batch-05-007,"Singkong Kukus, Kacang Tolo, dan Manggis",330.0,402.9,10.96,1.93,88.28,4.17,23.4,breakfast
batch-05-008,"Jagung Rebus, Kacang Merah, dan Buah Naga Merah",300.0,367.8,15.94,4.66,68.02,6.24,20.8,breakfast
batch-05-009,"Jagung Pipil, Kacang Merah Segar, dan Mangga",300.0,352.0,13.26,5.0,66.14,5.24,13.8,breakfast
batch-05-010,"Roti, Susu Skim, dan Belimbing",360.0,256.8,12.2,1.32,49.0,,398.0,breakfast
batch-05-011,"Ubi Kukus, Kacang Gude, dan Jambu Air",330.0,301.6,9.6,1.05,65.3,10.97,37.2,breakfast
batch-05-012,"Ubi Rebus, Tahu, dan Jeruk Bali",300.0,358.4,11.24,7.48,65.04,11.92,50.6,breakfast
batch-05-013,"Talas Belitung, Yoghurt, dan Kedondong",400.0,341.5,7.75,4.45,67.6,4.1,72.5,breakfast
batch-05-014,"Suweg Kukus, Kacang Merah, dan Manggis",330.0,328.9,11.09,1.47,71.01,4.93,23.8,breakfast
batch-05-015,"Ubi Gadung, Kacang Tolo, dan Buah Naga Merah",330.0,313.4,11.16,4.43,58.53,5.27,29.4,breakfast
batch-05-016,"Nasi, Ayam Kalasan, Bayam Rebus, dan Buah Naga Merah",500.0,553.0,37.62,14.42,65.3,5.64,184.0,lunch
batch-05-017,"Nasi Merah, Pepes Mujahir, Daun Kacang Panjang Kukus, dan Buah Naga Merah",510.0,438.7,31.99,6.7,64.82,7.16,80.2,lunch
batch-05-018,"Nasi, Ikan Baung, Daun Talas Rebus, dan Buah Naga Merah",510.0,470.6,23.92,9.08,73.34,,168.4,lunch
batch-05-019,"Nasi Merah, Pepes Ikan Mas, Daun Ubi Merah Kukus, dan Buah Naga Merah",500.0,529.0,23.42,13.22,83.54,6.96,131.2,lunch
batch-05-020,"Nasi, Ikan Papuyu, Kacang Panjang Kukus, dan Buah Naga Merah",510.0,501.8,27.14,10.15,78.09,6.84,355.2,lunch
batch-05-021,"Nasi Merah, Ikan Patin, Paria Putih Kukus, dan Buah Naga Merah",510.0,411.4,22.41,9.65,58.77,,365.1,lunch
batch-05-022,"Nasi, Cumi, Selada Rebus, dan Buah Naga Merah",500.0,537.0,43.18,11.94,62.66,4.84,128.0,lunch
batch-05-023,"Nasi Merah, Tahu, Taoge Seduh, dan Buah Naga Merah",520.0,420.8,20.76,13.68,58.6,5.66,59.0,lunch
batch-05-024,"Nasi, Tempe, Terung Kukus, dan Buah Naga Merah",490.0,568.2,22.9,23.26,72.12,6.62,43.2,lunch
batch-05-025,"Nasi Merah, Kacang Merah, Bayam Rebus, dan Buah Naga Merah",520.0,453.8,17.76,5.68,83.7,8.36,54.0,lunch
batch-05-026,"Nasi, Kacang Merah Segar, Daun Kacang Panjang Kukus, dan Buah Naga Merah",520.0,511.0,22.7,5.06,97.56,10.54,29.2,lunch
batch-05-027,"Nasi Merah, Kacang Tolo, Daun Talas Rebus, dan Buah Naga Merah",520.0,441.8,18.36,5.08,82.5,7.66,35.0,lunch
